,Customer_name,Date,Rating,Review_Title,Review,Sentimens
0,olivia w,Apr 2022,5.0,Birthday party at melia bali,"nginap disana sudah sangat sering tapi bikin acara birthday party anak disana adalah pengalaman pertama dan satu kata AMAZING semua di atur oleh Bu Dayu. Decoration, Spiderman, Live musik , makanan sesuai request dan semua jadi menyenangkan. Terima Kasih Bu dayu. oh ya di melia bali juga ada yang baru setiap kali kami datang. Bunk bed nya , ada area bermain golf, dan gocart bikin anak anak betah banget  bisa explore dan no gadget everyday",Positive
1,Yosellino,Apr 2022,5.0,Liburan Keluarga,"Liburan kali ini kita stay selama 5 hari, pool, sepeda, kids club seru sekali, activities nya banyak, main bola, main carnival, main archery, main jenga dan domino dan lain nya, makanan disini juga enak banget, salah satunya chiken nugget dan mash potato, ketemu sama Louie, Sasha and Cameron, special thanks to kak Ian, Kak Dani, Kak Tya, makasi yaa, balik lagi pasti!",Positive
2,Anis S,Apr 2022,5.0,best kids club,"Best Hotel for our kids, kids clubnya bagus dan activitynya banyak dan menarik, pantainya bagus untuk bermain dengan anak2 karena ombaknya tenang. special thank you for Acik, Resi, Graney, Dani, Sasih, Dayu,Tya,Soma karena membuat liburan kami sangat menyenangkan.kami pasti akan kembali lagi.",Positive
3,Anis N,Apr 2022,5.0,amizing holiday,"lovely holids for our famil especially for our kids, suka sekali dengan kids club terutama dengan activity dan mainan yg beragam di kids club. special thanks for kids team: Acik, Dani, Tya, Graney, Sasih, Soma, Dayu. Saya pasti akan kembali ke melia dan bertemu dengan Miss2 yang ada di kids club",Positive
4,ohana g,Mar 2022,5.0,Nice family hotel,"Kids clubnya bagus dan staffnya ramah..thank you to kak Sasih, kak Tya, kak Dani, kak Dayu, kak Resi, kak Aci, kak Graney karena uda temani anak-anak saya bermain selama kami menginap di Melia Bali Nusadua…",Positive
5,detabernadette,Mar 2022,5.0,Family trip,"Kids club yang luar biasa full activity Seperti movie time, feeding fish, marshmellow roasting , visit temple, treasure hunt.dibantu dengan miss yg ramah dan berpengalaman  Miss Tya, Miss Dayu, Miss Resi & Miss Graney  Pasti kembali lagi .",Positive
6,mamamauro,Mar 2022,5.0,baguss,"meskipun bangunan lama, tapi hotelnya bersih. kids clubnya juga oke. hp saya sempat ketinggalan di kids club, alhamdulillah di balikin sm missnya. untuk miss dani, soma, aci, resi dan alep thankyouu yaa, anak saya happy disana.",Positive
7,Michelle L,Mar 2022,5.0,Best Kids Club,"Kita selalu stay di Melia Bali karena anak” suka sekali sama activity di kids club. Para staff yg selalu ramah, sabar dan sangat telaten terhadap anak”. Trimakasih kepada Miss Dayu, Miss Sasih, Mr. Soma. Bikin anak” selalu memilih Melia Bali 😍",Positive
8,Gmelina,Feb 2022,5.0,Excellent stay,"Cocok banget untuk liburan sama keluarga, banyak bgt aktivitas yang dilakuin dan free seperti sepeda, water sport. Viewnya bagus, pantainya private. Kolam renangnya ada dua. Pokoknya best deh nginep disini",Positive
9,Nihayatul I,Feb 2022,5.0,Liburan di Melia bali,"menginap di melia bali, staff yang ramah, kamar nya bagus, luas, nyaman, pemandangan nya bagus, kolam renang nya bersih, menu sarapan yang menarik, kita juga coba salah satu aktifitas water sports yaitu kano, di bantu oleh staff disana, Ian, lalu kita juga order ice cream dibantu oleh pak Sarden, terima kasih melia bali, semoga bisa kembali lagi tahun depan!",Positive
10,Julie K,Jan 2022,5.0,Very Good Service,"Menyenangkan stay, tidak bosan karena banyak aktivitas yang bisa dilakukan di Melia, nusa dua  selama 3 malam tidak terasa. Di kamar pun melihat view garden yang menenangkan. Saat mengikuti yoga dg instruktur Agus terasa relaks dan ramah sekali, sambil ngobrol santai setelah selesai latihan. Sempat mencoba archery juga, dll. Enjoy !",Positive
11,Diah ayu,Jan 2022,5.0,Melia bali,"Hotel nya luas, fasilitas lengkap apalagi kalau sore2 nongkrong di pinggir pantai nya sambil pesen minuman enak bgttt si, staf nya ramah apalagi bli IRSYAD membantu bgt, ramah banget, kita nanya banyak hal dan dijawab dengan jelas..  next pasti akan balik lagi ke melia nusa dua❤️❤️",Positive
12,Widya,Jan 2022,5.0,Mrs,"Menghabiskan natal di Melia nusa dua bersama keluarga saya, suasana nya berasa kekeluargaan di hotel ini, acara yang mengesankan, marsmallow bakar, ayunan di laut,  kano....   staff nya pun sangat ramah. Terima kasih terutama untuk para personil  di kids club, terima kasih buat kakak Dani, Aci, Dayu, Sasih, Resi, dan Tya yang sudah menjadi sahabat putri saya yang terkecil selama tinggal 4 hari di sana.  Love this place...",Positive
13,Agnes Tetlyana,Jan 2022,5.0,Short Escape @Melia Nusa Dua,"Everything is perfect, room, pool, staff, activity and nice view. Worth it banget deh nginep disini, aktivity nya banyak banget, apalagi kl bawa anak2 ke sini pasti happy, swimming poolnya luas, private beach, sepedaan, kano, catur, movie, panahan, etc anak2 ga bakalan bosen nginep disini. Dan pas bgt ada jadwal Yoga pagi harinya, ketemu temen baru yg ramah and coach Ian trainer kita yg friendly and sabar ngadepin ibu2😁 Nginep di Lagoon access yg poolnya bersih bgt, bener2 terawat pokoknya. Sarapan buffet very good disapa Mr. Sumartha yg ramah, all staff hospitality 👍👍 The last kita bs late check in sampai jam 2 siang, happy bgt krn pesawat kita malem jd bs stay longer di hotel. Thanks Melia will be back for sure with my family🥰❤️",Positive
14,lisbet s,Jan 2022,5.0,Selalu Merindukan Melia Nusa Dua,Seperti back home menginap di Hotel Melia Nusa Dua. Hampir semua staf ramah sekali. Proses check in cepat. Makanan ala carte nya lumayan tasty agak mahal tapi nice ga sia2 dengan rasanya. Garden dan kolam ikan nya nice...enak memandang sangat terawat. Banyak aktivitas anak anak dan aktivitas di pantai. Pantainya bersih. Hampir semua staf terlihat rajin bekerja sangat responsif. Semoga tetap terjaga keramahannya dan service nya tetap selalu excellent terhadap semua tamu tamu. Semoga tetap sukses. Anak2 selalu kangen ke Melia Nusa Dua. ,Positive
