,Unnamed: 0,Customer_name,Date,Rating,Review_Title,Review,Sentimens,normal
0,0,olivia w,Apr 2022,5.0,Birthday party at melia bali,"nginap disana sudah sangat sering tapi bikin acara birthday party anak disana adalah pengalaman pertama dan satu kata AMAZING semua di atur oleh Bu Dayu. Decoration, Spiderman, Live musik , makanan sesuai request dan semua jadi menyenangkan. Terima Kasih Bu dayu. oh ya di melia bali juga ada yang baru setiap kali kami datang. Bunk bed nya , ada area bermain golf, dan gocart bikin anak anak betah banget  bisa explore dan no gadget everyday",Positive,nginap sana bikin acara birthday party anak sana alam amazing atur bu dayu decoration spiderman live musik makan sesuai request senang terima kasih bu dayu oh iya melia bal kali datang bunk bed nya area main golf gocart bikin anak anak betah banget explore nomor gadget everyday
1,1,Yosellino,Apr 2022,5.0,Liburan Keluarga,"Liburan kali ini kita stay selama 5 hari, pool, sepeda, kids club seru sekali, activities nya banyak, main bola, main carnival, main archery, main jenga dan domino dan lain nya, makanan disini juga enak banget, salah satunya chiken nugget dan mash potato, ketemu sama Louie, Sasha and Cameron, special thanks to kak Ian, Kak Dani, Kak Tya, makasi yaa, balik lagi pasti!",Positive,libur kali stay hari pool sepeda kids club seru sekali activities nya banyak main bola main carnival main archery main jenga domino nya makan enak banget salah satu chiken nugget mash potato ketemu louie sasha and cameron special terima kasih to kak ian kak dan kak tya makas yaa pasti
2,2,Anis S,Apr 2022,5.0,best kids club,"Best Hotel for our kids, kids clubnya bagus dan activitynya banyak dan menarik, pantainya bagus untuk bermain dengan anak2 karena ombaknya tenang. special thank you for Acik, Resi, Graney, Dani, Sasih, Dayu,Tya,Soma karena membuat liburan kami sangat menyenangkan.kami pasti akan kembali lagi.",Positive,best hotel for kami kids kids clubnya bagus activitynya tarik pantai bagus main anak2 ombak tenang special thank you for acik resi graney dan sasih dayu tya soma libur senang kami lagi
3,3,Anis N,Apr 2022,5.0,amizing holiday,"lovely holids for our famil especially for our kids, suka sekali dengan kids club terutama dengan activity dan mainan yg beragam di kids club. special thanks for kids team: Acik, Dani, Tya, Graney, Sasih, Soma, Dayu. Saya pasti akan kembali ke melia dan bertemu dengan Miss2 yang ada di kids club",Positive,lovely holids for kami famil especially for kami kids suka kids club activity main yang agam kids club special terima kasih for kids team acik dan tya graney sasih soma dayu saya melia temu miss2 kids club
4,4,ohana g,Mar 2022,5.0,Nice family hotel,"Kids clubnya bagus dan staffnya ramah..thank you to kak Sasih, kak Tya, kak Dani, kak Dayu, kak Resi, kak Aci, kak Graney karena uda temani anak-anak saya bermain selama kami menginap di Melia Bali Nusadua…",Positive,kids clubnya bagus staffnya ramah thank you to kak sasih kak tya kak dan kak dayu kak resi kak aci kak graney sudah teman anak main inap melia bal nusadua
5,5,detabernadette,Mar 2022,5.0,Family trip,"Kids club yang luar biasa full activity Seperti movie time, feeding fish, marshmellow roasting , visit temple, treasure hunt.dibantu dengan miss yg ramah dan berpengalaman  Miss Tya, Miss Dayu, Miss Resi & Miss Graney  Pasti kembali lagi .",Positive,kids club full activity seperti movie time feeding fish marshmellow roasting visit temple treasure hunt bantu miss yang ramah alam miss tya miss dayu miss resi miss graney pasti
6,6,mamamauro,Mar 2022,5.0,baguss,"meskipun bangunan lama, tapi hotelnya bersih. kids clubnya juga oke. hp saya sempat ketinggalan di kids club, alhamdulillah di balikin sm missnya. untuk miss dani, soma, aci, resi dan alep thankyouu yaa, anak saya happy disana.",Positive,bangun lama hotel bersih kids clubnya oke hp tinggal kids club alhamdulillah balikin sm miss miss dan soma aci resi alep thankyouu yaa anak bahagia sana
7,7,Michelle L,Mar 2022,5.0,Best Kids Club,"Kita selalu stay di Melia Bali karena anak” suka sekali sama activity di kids club. Para staff yg selalu ramah, sabar dan sangat telaten terhadap anak”. Trimakasih kepada Miss Dayu, Miss Sasih, Mr. Soma. Bikin anak” selalu memilih Melia Bali 😍",Positive,kita stay melia bal anak suka activity kids club para staff yang ramah sabar telaten anak trimakasih miss dayu miss sasih mr soma bikin anak pilih melia bal
8,8,Gmelina,Feb 2022,5.0,Excellent stay,"Cocok banget untuk liburan sama keluarga, banyak bgt aktivitas yang dilakuin dan free seperti sepeda, water sport. Viewnya bagus, pantainya private. Kolam renangnya ada dua. Pokoknya best deh nginep disini",Positive,cocok banget libur keluarga banget aktivitas dilakuin free sepeda water sport viewnya bagus pantai private kolam renang dua pokok best deh menginap
9,9,Nihayatul I,Feb 2022,5.0,Liburan di Melia bali,"menginap di melia bali, staff yang ramah, kamar nya bagus, luas, nyaman, pemandangan nya bagus, kolam renang nya bersih, menu sarapan yang menarik, kita juga coba salah satu aktifitas water sports yaitu kano, di bantu oleh staff disana, Ian, lalu kita juga order ice cream dibantu oleh pak Sarden, terima kasih melia bali, semoga bisa kembali lagi tahun depan!",Positive,inap melia bal staff ramah kamar nya bagus luas nyaman pandang nya bagus kolam renang nya bersih menu sarap tarik coba salah aktifitas water sports kano bantu staff sana ian order ice cream bantu sarden terima kasih melia bal moga depan
10,10,Julie K,Jan 2022,5.0,Very Good Service,"Menyenangkan stay, tidak bosan karena banyak aktivitas yang bisa dilakukan di Melia, nusa dua  selama 3 malam tidak terasa. Di kamar pun melihat view garden yang menenangkan. Saat mengikuti yoga dg instruktur Agus terasa relaks dan ramah sekali, sambil ngobrol santai setelah selesai latihan. Sempat mencoba archery juga, dll. Enjoy !",Positive,senang stay bosan aktivitas melia nusa malam asa di kamar view garden tenang saat ikut yoga dengan instruktur agus relaks ramah sekali ngobrol santai selesai latih sempat coba archery juga dan lain-lain enjoy
11,11,Diah ayu,Jan 2022,5.0,Melia bali,"Hotel nya luas, fasilitas lengkap apalagi kalau sore2 nongkrong di pinggir pantai nya sambil pesen minuman enak bgttt si, staf nya ramah apalagi bli IRSYAD membantu bgt, ramah banget, kita nanya banyak hal dan dijawab dengan jelas..  next pasti akan balik lagi ke melia nusa dua❤️❤️",Positive,hotel nya luas fasilitas lengkap sore2 kumpul-kumpul pinggir pantai nya sen minum enak bgttt si staf nya ramah bli irsyad bantu banget ramah banget bertanya jelas lanjut melia nusa dua
12,12,Widya,Jan 2022,5.0,Mrs,"Menghabiskan natal di Melia nusa dua bersama keluarga saya, suasana nya berasa kekeluargaan di hotel ini, acara yang mengesankan, marsmallow bakar, ayunan di laut,  kano....   staff nya pun sangat ramah. Terima kasih terutama untuk para personil  di kids club, terima kasih buat kakak Dani, Aci, Dayu, Sasih, Resi, dan Tya yang sudah menjadi sahabat putri saya yang terkecil selama tinggal 4 hari di sana.  Love this place...",Positive,habis natal melia nusa keluarga saya suasana nya asa keluarga hotel ini acara kesan marsmallow bakar ayun laut kano staff nya ramah terima kasih personil kids club terima kasih kakak dan aci dayu sasih resi tya sahabat putri kecil tinggal sana love this place
